country,survey_start_year,year,lat,lon,GID_1,GID_2,households,rural,iwi,uid,origin_lat,origin_lon
senegal,1992,1992,16.028962352289987,-16.49803718710124,SEN.10,SEN.10.3,10,0,29.504925,senegal_1992_00000,16.0333,-16.5
senegal,1992,1992,13.777605720875563,-13.660872812647844,SEN.12,SEN.12.4,6,0,31.092883333333333,senegal_1992_00001,13.7833,-13.6667
senegal,1992,1992,14.739425766226175,-17.389410229827902,SEN.1,SEN.1.3,16,0,31.332407125000003,senegal_1992_00002,14.75,-17.400000000000002
senegal,1992,1992,12.4333,-12.016700000000002,SEN.6,SEN.6.1,14,1,11.468750214285713,senegal_1992_00003,12.4333,-12.016700000000002
senegal,1992,1992,13.95,-16.166699999999995,SEN.5,SEN.5.2,11,1,15.449590818181814,senegal_1992_00004,13.95,-16.166699999999995
senegal,1992,1992,16.260464767767594,-16.130773404706396,SEN.10,SEN.10.1,17,1,9.775438176470589,senegal_1992_00005,16.266700000000007,-16.133299999999995
senegal,1992,1992,13.5333,-13.516700000000004,SEN.12,SEN.12.4,18,1,28.24173572222222,senegal_1992_00006,13.5333,-13.516700000000004
senegal,1992,1992,13.949999999999998,-16.1667,SEN.5,SEN.5.2,3,1,27.162133,senegal_1992_00007,13.949999999999998,-16.1667
senegal,1992,1992,14.33,-16.1667,SEN.5,SEN.5.2,1,1,43.935841,senegal_1992_00008,14.33,-16.1667
senegal,1992,1992,14.754609281388591,-17.402229425299392,SEN.1,SEN.1.3,13,0,39.59915584615385,senegal_1992_00009,14.75,-17.400000000000002
senegal,1992,1992,16.454500863913545,-15.69257368482401,SEN.10,SEN.10.1,15,0,27.77066553333334,senegal_1992_00010,16.4667,-15.6833
senegal,1992,1992,14.14891540806769,-16.057806330919657,SEN.5,SEN.5.2,9,0,42.96587155555556,senegal_1992_00011,14.150000000000002,-16.0667
senegal,1992,1992,14.15,-16.056138767967102,SEN.5,SEN.5.2,25,0,16.668208720000003,senegal_1992_00012,14.15,-16.06670000000001
senegal,1992,1992,14.750542268398657,-17.41699936790785,SEN.1,SEN.1.3,10,0,45.2411601,senegal_1992_00013,14.75,-17.400000000000002
senegal,1992,1992,16.483299999999993,-14.433299999999996,SEN.10,SEN.10.2,20,1,8.40051125,senegal_1992_00014,16.483299999999993,-14.433299999999996
senegal,1992,1992,14.767623722956374,-17.399442643675155,SEN.1,SEN.1.3,13,0,42.58338453846154,senegal_1992_00015,14.75,-17.400000000000002
senegal,1992,1992,14.09620391248695,-15.553334393581695,SEN.4,SEN.4.2,11,0,27.384584454545458,senegal_1992_00016,14.099999999999996,-15.55
senegal,1992,1992,14.759489696976509,-17.38996758615275,SEN.1,SEN.1.3,16,0,35.755534250000004,senegal_1992_00017,14.75,-17.400000000000002
senegal,1992,1992,14.4167,-12.3,SEN.12,SEN.12.1,10,1,17.765981199999995,senegal_1992_00018,14.4167,-12.3
senegal,1992,1992,14.136984896812265,-16.065032437047435,SEN.5,SEN.5.2,4,0,36.125785,senegal_1992_00019,14.15,-16.0667
senegal,1992,1992,16.04468632523879,-16.50224321474144,SEN.10,SEN.10.3,12,0,46.44052791666667,senegal_1992_00020,16.0333,-16.5
senegal,1992,1992,16.4058,-14.3139,SEN.10,SEN.10.2,3,1,9.120059,senegal_1992_00021,16.4058,-14.3139
senegal,1992,1992,13.8333,-15.4167,SEN.4,SEN.4.2,4,1,18.66465925,senegal_1992_00022,13.8333,-15.4167
senegal,1992,1992,14.74755979220604,-17.41254051730907,SEN.1,SEN.1.3,12,0,40.08640408333333,senegal_1992_00023,14.75,-17.400000000000002
senegal,1992,1992,14.151898035881548,-16.0589180395547,SEN.5,SEN.5.2,10,0,42.0501404,senegal_1992_00024,14.150000000000002,-16.0667
senegal,1992,1992,13.5333,-13.5167,SEN.12,SEN.12.4,2,1,20.4818045,senegal_1992_00025,13.5333,-13.5167
senegal,1992,1992,14.734003082239598,-17.393311724101828,SEN.1,SEN.1.3,3,0,42.15420433333333,senegal_1992_00026,14.75,-17.4
senegal,1992,1992,15.2833,-12.95,SEN.9,SEN.9.1,10,1,23.0600474,senegal_1992_00027,15.2833,-12.95
senegal,1992,1992,16.0400775745469,-16.514020092133997,SEN.10,SEN.10.3,10,0,29.3698896,senegal_1992_00028,16.0333,-16.5
